Pay Grade/Step,Annual Salary,Class #,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N
MAC08A,"41,770.48",10770,Adult Ed Instructor-MAC,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1961,6/9/97,Y
SR1007,"54,101.74",07300,Engineering Tech 3,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1968,6/16/89,N
MAC07C,"37,071.84",10227,Family Svcs Spec 2,Metro Action Commission,Full Time,005,Para-Professional,F,02,Black,1964,5/4/09,N
SR1107,"59,575.62",07756,Technical Specialist 1,Water Services,Full Time,002,Professionals,M,02,Black,1960,12/1/88,N
SR1300,"76,503.49",07416,Treatment Plant Mgr,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1971,11/30/92,Y
SR0600,"38,683.28",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1966,9/23/96,N
SR0808,"45,452.15",00220,Specialized Skills Instr,Parks,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1970,7/5/91,Y
TG1305,"50,149.27",10118,Master Tech,General Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1966,8/29/97,N
TS0905,"55,945.54",06188,Treatment Plant Shift Operator,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1961,3/16/93,N
TL0905,"46,323.74",10168,Water Maint Leader 2,Water Services,Full Time,008,Service Maintenance,M,02,Black,1954,10/1/89,N
TL0905,"46,323.74",10168,Water Maint Leader 2,Water Services,Full Time,008,Service Maintenance,M,02,Black,1966,4/15/93,N
SR1006,"26,299.52",07244,Admin Svcs Officer 3,Metropolitan Clerk,Part Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1953,7/29/15,N
MAC01A,"31,206.43",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1958,8/13/90,N
TG1105,"46,115.07",06186,Treatment Plant Tech 2,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1961,3/19/90,N
MAC01A,"26,701.48",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1959,8/22/96,N
SR0707,"39,801.23",10123,Office Support Spec 1,Public Works,Full Time,006,Administrative Support,F,03,Hispanic,1965,4/20/98,N
SR0600,"38,683.28",00513,Envir Asst,Health,Full Time,003,Technicians,M,02,Black,1967,11/15/95,N
SR0709,"31,496.40",06880,Recreation Leader,Parks,Part Time,005,Para-Professional,M,02,Black,1975,5/30/00,N
SR0900,"53,062.48",06494,Warehouse Supv,Health,Full Time,008,Service Maintenance,F,02,Black,1953,6/16/91,N
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1954,4/29/91,N
PS0405,"52,142.33",01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1966,1/29/88,N
SR1200,"71,754.70",10477,Information Sys Oper Analyst 3,Information Technology Service,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1952,3/1/97,Y
TL0905,"46,323.74",10168,Water Maint Leader 2,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1959,8/16/95,N
TS1305,"64,987.71",07786,Indust Maint Supv 2,Water Services,Full Time,003,Technicians,M,02,Black,1957,9/29/86,Y
MAC07C,"34,521.76",10453,Assistant Transportation Mgr,Metro Action Commission,Full Time,008,Service Maintenance,F,02,Black,1960,6/1/90,N
TS0805,"53,882.07",10169,Water Maint Supv,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1969,9/28/92,Y
TG1105,"46,115.07",06186,Treatment Plant Tech 2,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1954,7/6/93,N
TG1105,"46,115.07",06186,Treatment Plant Tech 2,Water Services,Full Time,007,Skilled Craft Workers,M,03,Hispanic,1969,6/19/95,N
TS0805,"53,882.07",07327,Maint & Repair Supv,Parks,Full Time,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1960,4/25/86,Y
RP1005,"10,652.93",09102,Part Time Worker 3,Parks,Part Time,002,Professionals,M,02,Black,1951,11/21/14,N
TG0805,"40,063.78",07303,Equip Operator 3,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1969,7/29/91,N
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1958,4/30/90,N
SR1108,"61,230.14",07756,Technical Specialist 1,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1970,9/21/11,N
SR060X,"40,741.81",10780,Animal Care & Con Ken Asst 2,Health,Full Time,008,Service Maintenance,M,02,Black,1961,9/14/98,N
SR0700,"43,119.00",06481,Home Economist,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1952,8/29/97,N
TG1105,"46,115.07",06184,Indust Mechanic 1,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1960,10/20/80,N
TG0905,"42,127.24",03020,Masonry Worker,Parks,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1962,5/11/84,N
TG0505,"34,082.03",07304,Equip Servicer,General Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1967,9/16/94,N
TG065M,"37,086.58",07329,Maint & Repair Worker 3,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1978,3/1/00,N
TG0805,"40,063.78",07303,Equip Operator 3,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1958,3/25/02,N
TL0705,"41,918.58",10167,Water Maint Leader 1,Water Services,Full Time,008,Service Maintenance,M,02,Black,1971,5/16/94,N
TG1205,"48,132.18",06224,Indust Electrician 1,Public Library,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1974,8/29/94,N
SR0600,"38,683.28",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,04,Asian or Pacific Islander,1958,9/4/85,N
HD0400,"69,372.21",10759,Public Health Nurse 2,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1968,12/13/99,Y
MAC01A,"25,342.50",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1978,1/24/00,N
SR1107,"59,575.62",02280,Golf Course Mgr,Parks,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1961,11/15/85,Y
HD0500,"72,642.10",10760,Public Health Nurse 3,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1955,4/1/97,Y
MAC06B,"34,054.79",10226,Family Svcs Spec 1,Metro Action Commission,Full Time,005,Para-Professional,F,02,Black,1962,7/29/94,N
SR1000,"49,162.55",03455,Human Resources Analyst 2,Human Resources,Full Time,002,Professionals,F,02,Black,1967,8/26/88,N
SR1000,"58,609.58",03238,Nutritionist 2,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1960,5/1/88,Y
TG030S,"48,549.50",02799,Maint & Repair Worker 1,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1967,6/20/14,N
SR0908,"50,341.38",10127,Park Police 2,Parks,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1963,11/13/92,N
PS0410,"63,396.89",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1960,2/16/01,N
SR079M,"43,273.47",07738,Cust Svc Field Rep 3,Water Services,Full Time,008,Service Maintenance,M,02,Black,1972,11/3/07,N
SR079M,"43,273.47",07738,Cust Svc Field Rep 3,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1957,11/1/94,N
SR0600,"38,683.28",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,02,Black,1964,5/1/91,N
PS0405,"55,270.87",07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,6/16/08,N
SR0406,"13,267.74",06084,Concessions Clerk 1,Parks,Part Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1949,3/26/08,N
SR1008,"55,604.35",10151,Finance Officer 2,Water Services,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1972,6/16/93,Y
HD0300,"42,897.16",10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,02,Black,1956,9/16/00,N
SR1007,"54,101.74",07300,Engineering Tech 3,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1965,2/1/88,N
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1956,4/20/92,N
SR078M,"42,134.37",07738,Cust Svc Field Rep 3,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1973,4/7/07,N
TL0705,"41,918.58",07325,Maint & Repair Leader 1,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1965,3/13/87,N
TG035M,"29,850.76",02799,Maint & Repair Worker 1,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1957,7/29/77,N
SR0600,"38,683.28",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,02,Black,1959,8/1/93,N
HD0300,"60,418.18",10758,Public Health Nurse 1,Health,Full Time,002,Professionals,F,02,Black,1947,12/7/87,N
RP1005,"10,652.93",09102,Part Time Worker 3,Parks,Part Time,005,Para-Professional,F,02,Black,1955,1/2/15,N
SR1000,"55,260.63",03455,Human Resources Analyst 2,Human Resources,Full Time,002,Professionals,F,02,Black,1964,7/15/94,N
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1967,5/20/91,N
SR0807,"44,223.83",07336,Naturalist 3,Parks,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1974,10/5/99,N
TL0705,"41,918.58",10167,Water Maint Leader 1,Water Services,Full Time,008,Service Maintenance,M,02,Black,1966,11/30/92,N
SR0903,"43,538.64",06034,Program Coord,Parks,Full Time,002,Professionals,M,02,Black,1976,6/1/92,Y
TG1105,"46,115.07",06186,Treatment Plant Tech 2,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1967,9/14/92,N
HD0300,"60,418.18",10758,Public Health Nurse 1,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1962,8/18/86,N
TG1105,"46,115.07",03610,Plumber,Parks,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1967,5/30/86,N
SR1200,"70,915.71",07406,System Svcs Asst Mgr,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1957,12/17/79,Y
TL0905,"46,323.74",10168,Water Maint Leader 2,Water Services,Full Time,008,Service Maintenance,M,02,Black,1956,10/6/80,N
TL0705,"41,918.58",07325,Maint & Repair Leader 1,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1979,5/30/97,N
SR1004,"49,593.90",07244,Admin Svcs Officer 3,Circuit Court Clerk,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1979,9/19/05,N
SR0908,"50,342.24",10127,Park Police 2,Parks,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1971,11/1/95,N
SR1107,"59,575.62",07040,Facility Coord,Parks,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1969,4/1/85,Y
SR0907,"48,980.83",10103,Application Tech 3,Water Services,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1960,11/16/86,N
TS0804,"51,911.33",10169,Water Maint Supv,Water Services,Full Time,008,Service Maintenance,M,02,Black,1963,2/1/90,Y
SR1300,"88,818.89",07242,Admin Svcs Mgr,Water Services,Full Time,001,Officials and Administrators,M,02,Black,1946,2/1/83,Y
TS1105,"60,049.30",07803,Treatment Plant Shift Supv,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1954,11/10/76,Y
TG045M,"32,859.72",07328,Maint & Repair Worker 2,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1967,7/19/99,N
MAC01A,"25,144.02",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1966,4/27/98,N
TG065M,"37,086.58",07329,Maint & Repair Worker 3,Parks,Full Time,008,Service Maintenance,M,02,Black,1958,5/15/87,N
SR0710,"43,119.00",10100,Application Tech 1,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1960,4/1/87,N
SR0800,"47,908.79",10124,Office Support Spec 2,Health,Full Time,006,Administrative Support,F,02,Black,1969,11/12/96,N
SR0906,"47,620.28",07241,Admin Asst,Parks,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1965,4/4/86,N
SR0807,"44,223.83",10124,Office Support Spec 2,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1961,2/16/95,N
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1961,8/27/90,N
MAC01A,"30,245.28",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1961,8/1/91,N
TG065M,"37,086.58",07329,Maint & Repair Worker 3,Parks,Full Time,008,Service Maintenance,M,02,Black,1967,5/12/86,N
PS0405,"52,142.33",07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1970,6/1/09,N
SP0101,"9,259.61",03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,02,Black,1976,8/3/15,N
SR0605,"33,721.93",07796,Police Operations Asst 3,Police,Full Time,006,Administrative Support,F,02,Black,1973,10/18/94,N
SR0810,"47,908.79",10124,Office Support Spec 2,Water Services,Full Time,006,Administrative Support,F,02,Black,1958,6/29/87,N
SR0908,"50,341.38",00451,Golf Course Asst Mgr,Parks,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1972,5/28/91,Y
SR0807,"44,223.83",10124,Office Support Spec 2,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1946,11/16/99,N
SR1300,"91,798.22",07782,Info Systems Mgr,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1957,8/1/85,Y
SR1003,"48,091.29",05923,Special Programs Coord,Parks,Full Time,005,Para-Professional,M,01,White (Not of Hispanic Origin),1976,3/22/98,Y
TG0803,"37,258.38",07303,Equip Operator 3,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1978,8/24/99,N
SR0900,"53,062.48",06632,Food Inspector 2,Health,Full Time,001,Officials and Administrators,F,03,Hispanic,1971,4/7/99,N
SR1006,"52,599.13",07381,Program Supv,Public Library,Full Time,002,Professionals,F,02,Black,1975,10/12/99,Y
SR1010,"28,132.92",07300,Engineering Tech 3,Water Services,Part Time,003,Technicians,M,01,White (Not of Hispanic Origin),1937,6/12/10,N
SR0700,"43,119.00",06481,Home Economist,Health,Full Time,002,Professionals,F,03,Hispanic,1969,5/15/00,N
TL0905,"46,323.74",10168,Water Maint Leader 2,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1957,3/19/90,N
SR0609,"37,691.01",10122,Office Support Rep 3,Parks,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1962,6/12/92,N
TG0905,"42,127.24",03020,Masonry Worker,Parks,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1965,3/23/84,N
TS0905,"55,945.54",06188,Treatment Plant Shift Operator,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1965,5/20/91,N
SR0900,"53,062.48",06632,Food Inspector 2,Health,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1973,4/22/99,N
SR1300,"69,023.79",10486,Water Services security Manage,Water Services,Full Time,001,Officials and Administrators,M,02,Black,1959,7/14/86,Y
TG0805,"40,063.78",07303,Equip Operator 3,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1959,6/7/82,N
SR1200,"62,283.91",06233,Cust Svc Asst Mgr,Water Services,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1954,11/1/86,Y
TL1305,"55,203.62",06195,Indust Electronics Tech 2,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1955,3/3/80,N
SR1200,"63,723.36",07783,Info Systems App Analyst 3,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1963,6/16/00,Y
SR0810,"47,908.79",00220,Specialized Skills Instr,Parks,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1959,1/6/96,Y
TG065M,"37,086.58",10166,Water Maint Tech 3,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1957,8/4/97,N
SR1400,"89,207.58",03074,Medical Admin Asst 3,Health,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1955,2/19/08,Y
SR1200,"61,878.56",07245,Admin Svcs Officer 4,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1955,10/1/86,Y
SR0800,"47,908.79",10392,Administrative Asst - Health,Health,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1948,8/18/86,N
SR1000,"55,145.94",07380,Program Spec 3,Health,Full Time,002,Professionals,F,02,Black,1963,8/1/92,N
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1955,7/29/74,N
SR1200,"59,780.85",06853,Park Police Lieutenant,Parks,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1955,9/16/81,Y
NS,"43,857.61",07955,Career Coach-NCAC,NCAC,Full Time,002,Professionals,F,02,Black,1965,6/1/98,N
TS0905,"55,945.54",06188,Treatment Plant Shift Operator,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1959,9/27/79,N
TS0804,"51,911.33",10169,Water Maint Supv,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1972,12/18/92,Y
TS1105,"60,049.30",07803,Treatment Plant Shift Supv,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1962,11/12/80,Y
MAC01A,"26,156.12",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1974,9/8/97,N
CA0100,"11,573.12",10680,Security & Parking Off 1 -MCC,Convention Center Authority,Part Time,004,Protective Service Workers,M,02,Black,1954,7/18/97,N
MAC01A,"24,526.53",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1968,1/23/06,N
HD0300,"42,897.16",10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1952,1/1/89,N
TG0805,"40,063.78",07303,Equip Operator 3,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1961,5/6/85,N
SR0600,"38,683.28",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,M,02,Black,1968,1/29/99,N
SR0810,"47,908.79",07336,Naturalist 3,Parks,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1954,2/25/77,N
TS0805,"53,882.07",10169,Water Maint Supv,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1960,7/14/86,Y
HD0300,"42,897.16",10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,02,Black,1959,9/25/00,N
TG0805,"40,063.78",06229,Treatment Plant Tech 1,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1961,12/3/90,N
TG1005,"44,074.80",07799,Skilled Craft Worker 2,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1964,11/3/97,N
SR1010,"58,609.58",07730,CAD/GIS Analyst 2,Water Services,Full Time,003,Technicians,M,04,Asian or Pacific Islander,1952,2/1/88,N
SR1400,"76,249.60",07407,Information Systems Advisor 2,Information Technology Service,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1950,8/1/00,Y
SR1200,"57,591.04",06874,Human Resources Analyst 3,Water Services,Full Time,002,Professionals,F,02,Black,1972,11/12/11,Y
TS1305,"64,987.71",07786,Indust Maint Supv 2,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1962,1/23/84,Y
TS1305,"64,987.71",07786,Indust Maint Supv 2,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1963,5/1/95,Y
TG1005,"44,074.80",00960,Carpenter 1,Parks,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1968,2/12/93,N
TL1105,"50,821.64",06178,Indust Mechanic 2,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1955,4/1/79,N
SR0600,"38,683.28",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,02,Black,1955,11/1/76,N
SR1200,"62,831.21",07743,Envir Compliance Officer 3,Water Services,Full Time,002,Professionals,M,04,Asian or Pacific Islander,1971,8/1/94,Y
CO0101,"33,165.69",06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1979,7/1/15,N
TS1205,"62,205.51",07317,Indust Maint Supv 1,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1965,9/16/84,N
SR0906,"47,620.28",06034,Program Coord,Parks,Full Time,002,Professionals,M,02,Black,1978,11/10/00,Y
TL1305,"55,203.62",06195,Indust Electronics Tech 2,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1956,4/27/81,N
SR0904,"44,899.19",06034,Program Coord,Parks,Full Time,002,Professionals,M,02,Black,1979,6/30/00,Y
PS0505,"59,323.32",10112,Fire Fighter/Paramedic,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1982,9/1/06,N
SR0910,"53,062.48",06034,Program Coord,Parks,Full Time,002,Professionals,M,02,Black,1963,9/26/86,Y
SR0905,"46,259.74",07241,Admin Asst,Water Services,Full Time,006,Administrative Support,F,02,Black,1960,1/16/89,N
SR1007,"25,697.88",07730,CAD/GIS Analyst 2,Water Services,Part Time,003,Technicians,F,01,White (Not of Hispanic Origin),1953,8/30/14,N
SR1104,"54,612.08",06526,Park Police Sergeant,Parks,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1967,4/17/92,N
SR0810,"47,908.79",07299,Engineering Tech 2,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1959,10/6/86,N
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1960,11/24/80,N
SR1200,"64,321.21",10477,Information Sys Oper Analyst 3,Parks,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1963,9/16/03,Y
TG065M,"37,086.58",07329,Maint & Repair Worker 3,Parks,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1958,5/14/99,N
SR0907,"48,980.83",10103,Application Tech 3,Water Services,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1964,11/1/86,N
SR1007,"54,101.74",07300,Engineering Tech 3,Water Services,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1958,10/26/81,N
MAC01A,"25,342.50",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1959,2/10/98,N
,"29,482.75",07790,Judicial Asst 1,State Trial Courts,Part Time,002,Professionals,F,03,Hispanic,1958,4/20/15,Y
SR1200,"70,915.71",07757,Technical Specialist 2,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1955,4/12/76,Y
SR1400,"91,568.35",06232,Finance Mgr,Health,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1956,2/20/90,Y
SR067M,"36,777.66",07737,Cust Svc Field Rep 2,Water Services,Full Time,008,Service Maintenance,M,02,Black,1973,6/1/00,N
DP0200,"144,530.88",01610,Parks & Recreation Dir,Parks,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1950,6/5/71,Y
TL0704,"40,249.26",07325,Maint & Repair Leader 1,Parks,Full Time,008,Service Maintenance,M,02,Black,1966,6/24/86,N
MAC09B,"51,430.24",10224,Exec Secretary,Metro Action Commission,Full Time,006,Administrative Support,F,03,Hispanic,1961,9/16/96,N
SR1006,"52,599.13",07244,Admin Svcs Officer 3,Public Works,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1971,11/11/94,N
TG1105,"46,115.07",06186,Treatment Plant Tech 2,Water Services,Full Time,007,Skilled Craft Workers,M,02,Black,1953,4/18/79,N
MAC08B,"42,181.32",10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1977,1/10/00,N
SR1005,"51,096.52",07300,Engineering Tech 3,Water Services,Full Time,003,Technicians,M,02,Black,1956,6/1/81,N
SR0709,"42,013.08",06880,Recreation Leader,Parks,Full Time,005,Para-Professional,F,02,Black,1966,11/12/99,N
SR0700,"43,119.00",10123,Office Support Spec 1,Health,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1968,9/28/92,N
SR0800,"46,138.95",10124,Office Support Spec 2,Health,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1962,1/20/98,N
SR0900,"53,062.48",01844,Environmentalist 2,Health,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1964,8/16/98,N
SR0710,"43,119.00",10100,Application Tech 1,Water Services,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1963,2/1/87,N
MAC04,"31,959.83",10229,Food Svc Worker 2,Metro Action Commission,Full Time,008,Service Maintenance,F,02,Black,1953,8/23/93,N
SR1000,"55,145.94",07381,Program Supv,Health,Full Time,002,Professionals,F,02,Black,1958,11/16/88,Y
TL1405,"57,383.02",07787,Indust Tech Master,Water Services,Full Time,007,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1963,8/3/92,N
SR0400,"30,801.94",10343,Custodian 1 - Health,Health,Full Time,008,Service Maintenance,M,02,Black,1963,2/23/98,N
SR0600,"38,683.28",10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,02,Black,1966,12/30/91,N
SR1200,"34,040.45",06233,Cust Svc Asst Mgr,Water Services,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1945,9/29/12,Y
TG065M,"37,086.58",10166,Water Maint Tech 3,Water Services,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1966,6/20/88,N
CA0300,"41,683.20",10690,Security & Parking Supv-MCC,Convention Center Authority,Full Time,004,Protective Service Workers,M,02,Black,1959,4/1/92,N
SR0700,"39,816.32",10623,Facilities Maint Leader,Health,Full Time,008,Service Maintenance,M,02,Black,1965,9/28/87,N
MAC07C,"39,110.47",10227,Family Svcs Spec 2,Metro Action Commission,Full Time,005,Para-Professional,F,02,Black,1966,11/2/94,N
MAC01A,"26,415.10",10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1973,4/3/00,N
TG1105,"46,115.07",01880,Equip Mechanic,Water Services,Full Time,007,Skilled Craft Workers,M,03,Hispanic,1954,4/16/82,N
SR0600,"37,000.07",07378,Program Spec 1,Health,Full Time,002,Professionals,F,02,Black,1957,7/23/79,N
SR1010,"58,609.58",07300,Engineering Tech 3,Parks,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1954,12/1/85,N
PS0505,"59,323.32",07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1980,9/1/06,N
SR0806,"42,995.51",07299,Engineering Tech 2,Water Services,Full Time,003,Technicians,M,02,Black,1967,12/30/96,N
